Model,Avg Accuracy (%),Consistency (%)
gemini-2.5-flash,99.38,98.12
gemini-2.5-pro,99.22,98.12
glm-4.6,98.75,91.88
gpt-oss-20b,98.12,90.62
deepseek-v3.1,95.78,88.12
kimi-k2-instruct,95.16,84.38
gemini-2.5-flash-lite,87.97,69.38
qwen3-next-80b-a3b-instruct,79.06,68.75
qwen3-next-80b-a3b-thinking,72.34,68.75
gemma-3-27b-it,69.06,67.5
llama-3.3-70b-instruct,68.91,68.75
llama-3.1-8b-instruct,63.91,54.37
llama-3.2-3b-instruct,61.09,70.62
llama-3.2-1b-instruct,54.22,55.62
mixtral-8x22b-instruct,52.5,100.0
