Model,Congruent_Acc,Incongruent_Acc,Bias_Effect
llama-3.2-3b-instruct,82.01,35.15,46.86
llama-3.3-70b-instruct,85.26,53.63,31.63
qwen3-next-80b-a3b-thinking,86.28,58.33,27.95
llama-3.2-1b-instruct,61.99,41.24,20.75
llama-3.1-8b-instruct,70.63,57.69,12.94
gemini-2.5-flash-lite,95.02,82.48,12.54
deepseek-v3.1,99.7,91.77,7.92
kimi-k2-instruct,99.59,92.09,7.5
glm-4.6,99.39,97.54,1.85
gemini-2.5-pro,100.0,98.61,1.39
gemini-2.5-flash,100.0,99.15,0.85
gpt-oss-20b,99.19,98.4,0.79
qwen3-next-80b-a3b-instruct,75.51,83.44,-7.93
gemma-3-27b-it,61.69,75.43,-13.74
