Model,zero_shot,one_shot,few_shot,zero_shot_cot
gemini-2.5-flash,100.0,100.0,100.0,98.3
kimi-k2-thinking,98.8,100.0,99.7,98.8
gemini-2.5-pro,99.2,100.0,100.0,98.1
gpt-oss-20b,99.6,99.8,100.0,97.3
qwen3-32b,100.0,98.8,100.0,96.9
glm-4.6,98.5,98.8,100.0,98.3
qwen3-235b-a22b-thinking,93.5,99.4,,
kimi-k2-instruct,95.4,94.2,96.5,97.9
deepseek-v3.1,96.7,91.5,96.7,98.5
gemini-2.5-flash-lite,88.3,90.6,81.7,95.0
glm-4.5,95.3,100.0,99.4,53.4
qwq-32b,,99.4,95.6,65.0
qwen3-next-80b-a3b-instruct,76.9,73.3,68.5,98.8
qwen3-next-80b-a3b-thinking,84.4,65.6,52.5,88.1
llama-3.3-70b-instruct,69.8,76.9,75.6,57.1
gemma-3-27b-it,69.4,73.5,62.7,67.9
llama-3.1-8b-instruct,68.3,74.4,61.5,53.1
llama-3.2-3b-instruct,59.0,59.8,65.6,52.3
deepseek-r1,53.8,55.0,,
mixtral-8x22b-instruct,52.5,52.5,52.5,52.5
llama-3.2-1b-instruct,52.3,52.3,47.3,55.6
