Model,V-B,V-U,I-B,I-U,Belief_Bias
gpt-oss-20b,98.1,98.3,100.0,100.0,-0.1
glm-4.5,72.2,72.8,100.0,99.8,-0.1
deepseek-r1,2.8,3.4,100.0,100.0,-0.2
mixtral-8x22b-instruct,0.0,0.0,100.0,100.0,0.2
qwen3-32b,100.0,98.1,98.6,99.9,0.3
gemini-2.5-flash,100.0,98.9,100.0,100.0,0.5
kimi-k2-thinking,100.0,98.3,100.0,100.0,0.8
gemini-2.5-pro,100.0,98.1,100.0,100.0,0.9
qwq-32b,80.6,78.0,100.0,100.0,1.2
kimi-k2-instruct,100.0,92.8,90.4,99.5,-1.4
glm-4.6,100.0,97.0,100.0,100.0,1.4
llama-3.2-1b-instruct,52.3,38.6,48.8,64.7,-1.9
gemini-2.5-flash-lite,95.8,83.6,79.2,94.8,-2.4
qwen3-next-80b-a3b-thinking,38.0,44.3,99.2,99.9,-3.3
llama-3.3-70b-instruct,59.3,42.8,85.0,92.6,3.9
deepseek-v3.1,99.1,89.2,99.2,99.9,4.3
llama-3.2-3b-instruct,25.0,13.5,97.9,98.0,5.5
qwen3-next-80b-a3b-instruct,95.8,86.8,73.8,69.8,6.3
qwen3-235b-a22b-thinking,100.0,86.2,100.0,100.0,6.6
gemma-3-27b-it,100.0,90.9,30.4,50.9,-6.6
llama-3.1-8b-instruct,55.6,49.1,82.5,74.9,7.1
